job_title,company,location,link,description
"Director Regional Sales, Alps",Gitlab,Remote,https://job-boards.greenhouse.io/gitlab/jobs/8347186002,
"Director, Regional Sales - East",Gitlab,"Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8315400002,
"Director Regional Sales, Italy",Gitlab,"Remote, Italy",https://job-boards.greenhouse.io/gitlab/jobs/8326610002,
"Director Regional Sales, MED",Gitlab,"Remote, Europe",https://job-boards.greenhouse.io/gitlab/jobs/8331359002,
"Director, Regional Sales - New Business - DACH / France",Gitlab,Remote,https://job-boards.greenhouse.io/gitlab/jobs/8374796002,
"Director, Regional Sales - New Business, West",Gitlab,"Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8350605002,
"Director, Regional Sales - PubSec, Civilian",Gitlab,"Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8346352002,
Ecosystem Sales Manager - AMER,Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8347903002,
Ecosystem Sales Manager - Brazil,Gitlab,"Remote, Brazil",https://job-boards.greenhouse.io/gitlab/jobs/8345734002,
"Ecosystem Sales Manager, MEA ",Gitlab,"Remote, United Arab Emirates",https://job-boards.greenhouse.io/gitlab/jobs/8360326002,
"Ecosystem Sales Manager, Mediterranean",Gitlab,"Remote, France; Remote, Germany; Remote, Spain",https://job-boards.greenhouse.io/gitlab/jobs/8392184002,
Ecosystem Sales Manager - Scale - AMER,Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8359992002,
Enablement Data and Reporting Analyst - US Remote,Gitlab,"Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8369681002,
"Enablement Lead, Ecosystem - US Remote",Gitlab,"Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8379362002,
"Engineering Manager, Create:Source Code",Gitlab,"Remote, Americas",https://job-boards.greenhouse.io/gitlab/jobs/8366115002,
"Engineering Manager, Database Reliability, Scalability & Operations",Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8293419002,
"Engineering Manager, Fulfillment ",Gitlab,"Remote, Canada; Remote, North America",https://job-boards.greenhouse.io/gitlab/jobs/8239293002,
"Engineering Manager, Gitlab Delivery",Gitlab,"Remote, Canada; Remote, EMEA",https://job-boards.greenhouse.io/gitlab/jobs/8331155002,
"Engineering Manager, Gitlab SaaS; Production Engineering",Gitlab,"Remote, APAC",https://job-boards.greenhouse.io/gitlab/jobs/8358827002,
"Engineering Manager, Infrastructure Platforms",Gitlab,"Remote, Canada; Remote, France; Remote, Germany; Remote, Ireland; Remote, Israel; Remote, Netherlands; Remote, Spain; Remote, United Kingdom; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8337454002,
"Engineering Manager, Software Supply Chain Security: Auth Infrastructure",Gitlab,"Remote, Canada; Remote, EMEA; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8158501002,
"Engineering Manager, Software Supply Chain Security: Pipeline Security ",Gitlab,Remote,https://job-boards.greenhouse.io/gitlab/jobs/8339221002,
"Executive Business Administrator, People",Gitlab,Remote,https://job-boards.greenhouse.io/gitlab/jobs/8382631002,
"FP&A Analyst, Marketing",Gitlab,"Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8393662002,
Global Payroll Operations Specialist,Gitlab,"Remote, Canada; Remote, Ireland; Remote, United Kingdom; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8385212002,
IBM Ecosystem Sales Manager - AMER,Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8347847002,
Indirect Tax Analyst,Gitlab,"Remote, India",https://job-boards.greenhouse.io/gitlab/jobs/8344023002,
"Intermediate Backend Engineer (Golang), Monitor: Platform Insights",Gitlab,"Remote, APAC",https://job-boards.greenhouse.io/gitlab/jobs/7916259002,
"Intermediate Backend Engineer, Verify: Runner Core",Gitlab,"Remote, Canada; Remote, US-Southeast",https://job-boards.greenhouse.io/gitlab/jobs/8343309002,
"Intermediate Backend (Go) Engineer, Gitlab Delivery -Operate",Gitlab,"Remote, Canada; Remote, EMEA",https://job-boards.greenhouse.io/gitlab/jobs/8323112002,
"Intermediate Fullstack Engineer (TypeScript), AI Engineering: Editor Extensions – Multi-Platform",Gitlab,"Remote, APAC; Remote, Canada; Remote, Netherlands; Remote, United Kingdom",https://job-boards.greenhouse.io/gitlab/jobs/8315155002,
"Intermediate Site Reliability Engineer, Database Operations",Gitlab,"Remote, EMEA",https://job-boards.greenhouse.io/gitlab/jobs/8199072002,
"Intermediate Site Reliability Engineer, Environment Automation",Gitlab,"Remote, France; Remote, Germany; Remote, Ireland; Remote, Israel; Remote, Netherlands; Remote, Spain; Remote, United Kingdom",https://job-boards.greenhouse.io/gitlab/jobs/8242652002,
"Intermediate Site Reliability Engineer, Tenant Scale: Tenant Services",Gitlab,"Remote, Americas; Remote, EMEA",https://job-boards.greenhouse.io/gitlab/jobs/8358825002,
Intermediate Support Engineer (AMER - PST / MST),Gitlab,"Remote, Canada; Remote, Chile; Remote, Costa Rica; Remote, Mexico; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8359317002,
Investor Relations Manager,Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8385091002,
Major Account Executive - DACH ,Gitlab,"Remote, EMEA; Remote, Europe; Remote, Germany",https://job-boards.greenhouse.io/gitlab/jobs/8321197002,
"Manager, Customer Success Engineers",Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8340423002,
"Manager, Ecosystem Sales - EMEA South",Gitlab,"Remote, France; Remote, Spain",https://job-boards.greenhouse.io/gitlab/jobs/8374358002,
"Manager, Renewals - AMER",Gitlab,"Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8367351002,
