job_title,company,location,link,description
Associate Director - Business Finance,Meesho,"Bangalore, Karnataka",https://jobs.lever.co/meesho/b7f20190-5e8c-4cbc-901a-44a05bfec9be,"About the Team:

The BizFin team at Meesho is a close-knit and high-performing group that brings together a diverse mix of professionals from Big 4 consulting, FMCG giants, and top-tier investment firms. Our members include Chartered Accountants (many of whom are rank holders), business specialists, and former investment bankers — each contributing a unique perspective and skill set.

We thrive on solving complex, high-impact business problems across Meesho’s ecosystem. Whether it's driving growth strategy or streamlining financial operations, the team plays a critical role in shaping key decisions that drive the company's success.

We believe in cross-functional exposure, ensuring team members gain experience across different areas of the business, enabling continuous learning and a broader perspective. At our core, we value both excellence in our work and strong team bonds, creating a culture that celebrates collaboration, achievement, and the collective impact we make.

About the Role: 

As Associate Director - Business Finance, you’ll strategise with the business team and tell us how and where to spend our money. While you ensure governance and controllership are best in class, more importantly you actively work with CXOs to drive prioritisation/ choices around growth and profitability. You will lead a team of expert finance professionals - who will aid you in problem discovery, implementing complex business solutions, playing the critical challenger role in business orgs and being co-pilot in leadership level decision-making. You’ll also manage business development activities according to a financial plan. You’ll modify financial plans and budget amounts based on the changes in business plans. You’ll also provide financial support and advice to management in closing business deals and short/medium/long term strategies.
"
Associate Director – Finance Controller (Valmo),Meesho,"Bangalore, Karnataka",https://jobs.lever.co/meesho/2aacff1a-a849-4682-b7d0-6d4a14fe9daa,"About the Team

The team at Meesho is a close-knit and high-performing group that brings together a diverse mix of professionals from Big 4 consulting, FMCG giants, and top-tier investment firms. Our members include Chartered Accountants (many of whom are rank holders), business specialists, and former investment bankers — each contributing a unique perspective and skill set.

We thrive on solving complex, high-impact business problems across Meesho’s ecosystem. Whether it's driving growth strategy or streamlining financial operations, the team plays a critical role in shaping key decisions that drive the company's success.

We believe in cross-functional exposure, ensuring team members gain experience across different areas of the business, enabling continuous learning and a broader perspective. At our core, we value both excellence in our work and strong team bonds, creating a culture that celebrates collaboration, achievement, and the collective impact we make.

About the Role

We are looking for a finance leader to anchor the controllership and cost integrity for Valmo, our in-house logistics and fulfillment platform. This is a critical role in ensuring financial accuracy, cost visibility, and audit preparedness for a fast-scaling, operationally intensive business unit.
"
Associate Director – Financial Reporting,Meesho,"Bangalore, Karnataka",https://jobs.lever.co/meesho/2936334b-22f3-4ee0-8b43-7b7ed56161a2,"About the Team:

The team at Meesho is a close-knit and high-performing group that brings together a diverse mix of professionals from Big 4 consulting, FMCG giants, and top-tier investment firms. Our members include Chartered Accountants (many of whom are rank holders), business specialists, and former investment bankers — each contributing a unique perspective and skill set.

We thrive on solving complex, high-impact business problems across Meesho’s ecosystem. Whether it's driving growth strategy or streamlining financial operations, the team plays a critical role in shaping key decisions that drive the company's success.

We believe in cross-functional exposure, ensuring team members gain experience across different areas of the business, enabling continuous learning and a broader perspective. At our core, we value both excellence in our work and strong team bonds, creating a culture that celebrates collaboration, achievement, and the collective impact we make.

About the Role:

We are looking for a high-caliber finance professional to lead our Financial Reporting and Treasury charter as Associate Director – Reporting and Treasury. This role is critical as we scale toward IPO readiness and build robust, investor-grade reporting capabilities across our businesses. You will be responsible for timely and accurate financial reporting, technical accounting compliance, and driving consistency across multiple reporting entities.
"
Associate Director- FP&A,Meesho,"Bangalore, Karnataka",https://jobs.lever.co/meesho/7aa8cfe7-efe5-407b-88dd-3940ce91ded0,"About the team

Did you know Meesho helped 9 million women start businesses with zero investment? Our Finance team has a key role to play in making a difference for the better in 9 million lives. Here’s your chance to be a part of this great impact! As Associate Director - Financial Planning & Analysis(FP&A), you’ll be one among the 50+ professionals working in domains such as Financial Reporting, Finance Operations, Business Finance, Treasury Management and Taxation. The team consists of Chartered Accountants, Business experts and Engineers, who have previously worked for internationally renowned organisations.  Our team believes in working hard and partying harder. We organise team trivia nights, board game marathons, and other fun events to foster our team spirit.

About the role

Let’s get financially responsible!As Associate Director - FP&A, you’ll tell us how and where to spend our money. You’ll oversee the overall direction, control, compliance and timely and accurate reporting of management accounting and financial planning and budgeting. This role is critical for business performance and will require you to create a competitive business advantage for the team and the organisation. You’ll modify financial plans and budget amounts based on the changes in business plans. 
"
Business Manager - H&A,Meesho,"Bangalore, Karnataka",https://jobs.lever.co/meesho/eb95c6f7-9b12-49af-aa5f-f1d573e1dc55,"About the Team

Meesho is the most downloaded e-commerce app in India. And, as the Business team, we have the most bragging rights to this claim. Why? Because we hold end-to-end responsibility to launch and scale up categories, by ensuring the right selection, competitive pricing, and conversion. And we take this job very seriously. 

As a Business Manager, you will guide our Associate Business Managers, Key Account Managers, and Business Development Executives to drive growth across all categories. You will also work closely with the Category Marketing teams and coordinate with functions such as product, supplier growth, user growth, and Fulfillment & Experience. We focus on personal growth and fun at work just as much as we do on working hard. That is why, we have regular 1-1s, monthly outings, and timely rewards and recognitions.

About the Role

As a Business Manager, you will manage both the demand and supply sides of the business. You will also ensure all the best prices and choices are showcased on the app to the customers. You will own P&L (profit and loss account) and constantly drive value to your resellers. Ultimately, you will make sure the users transacting in your portfolio keep on increasing, and also that your suppliers continue to thrive.
"
Business Manager-Pricing,Meesho,"Bangalore, Karnataka",https://jobs.lever.co/meesho/883b7470-1944-4e35-bc64-50b495bb3135,"About the Team

Meesho is the most downloaded e-commerce app in India. And, as the Business team, we have the most bragging rights to this claim. Why? Because we hold end-to-end responsibility to launch and scale up categories, by ensuring the right selection, competitive pricing, and conversion. And we take this job very seriously. 

As a Business Manager, you will guide our Associate Business Managers, Key Account Managers, and Business Development Executives to drive growth across all categories. You will also work closely with the Category Marketing teams and coordinate with functions such as product, supplier growth, user growth, and Fulfillment & Experience. We focus on personal growth and fun at work just as much as we do on working hard. That is why, we have regular 1-1s, monthly outings, and timely rewards and recognitions.

About the Role

As a Business Manager, you will manage both the demand and supply sides of the business. You will also ensure all the best prices and choices are showcased on the app to the customers. You will own P&L (profit and loss account) and constantly drive value to your resellers. Ultimately, you will make sure the users transacting in your portfolio keep on increasing, and also that your suppliers continue to thrive.
"
Cluster Head - Consolidation Delhi,Meesho,"Delhi, Delhi",https://jobs.lever.co/meesho/77833a87-fbff-4fed-83bd-e3101f3d6662,"About the Team: 

Being part of Meesho's Fulfilment and Experience team will zip you to the cockpit of our ever burgeoning rocketship, where you get to directly shape the experience of the country's next billion e-Commerce users. We are an eclectic mix of 100+ professionals with diverse skill sets ranging from running operations / support, supply chain know-how, analytics and the holy grail, first principles problem solving. At Meesho, we are trying to do what's never been done before - taking e-Commerce to the masses. This leaves us with no choice but to completely reimagine logistics from the ground up, to cater to our customers' price and delivery expectations. That means a host of ""zero-to-one"" projects (takers, anyone?) to build a supply chain which changes how folks think about e-Commerce not just in India, but globally. We focus on personal growth and fun at work just as much as we do on working hard. 

About the Role:

As an Assistant Manager - Packaging Center- F&E, you’ll be responsible for overseeing the daily operations of the packaging center, ensuring efficient and effective processes, maintaining high-quality standards, and managing the team to achieve organisational goals. This role requires strong leadership, excellent organisational skills, and a deep understanding of packaging processes and safety standards.
"
Cluster Head -Last Mile - Haryana,Meesho,"Panipat, Haryana",https://jobs.lever.co/meesho/4060e54b-c5f1-4793-89f1-61ba60070f12,"About the Team

Being part of Meesho's Fulfillment and Experience (F&E) team as Cluster Head LM will zip you to the cockpit of our ever-burgeoning rocketship, where you get to directly shape the experience of the country's next billion e-Commerce users. We are an eclectic mix of 100+ professionals with diverse skill sets ranging from running operations/support, supply chain know-how, analytics and the holy grail, first principles Problem-solving. 

At Meesho, we’re trying to do what's never been done before - taking e-commerce to the masses. This leaves us with no choice but to completely reimagine logistics from the ground up, to cater to our customers' price and delivery expectations. That means a host of ""zero-to-one"" projects (takers, anyone?) to build a supply chain to change how folks think about e-Commerce – not just in India, but globally. 

We are firm believers in fun at work. With monthly F&E happy hour sessions, informal team outings, and internal virtual water cooler chat sessions, there’s never a dull moment with us :). 

About the Role 

As Cluster Head LM - Haryana, you’ll own the onboarding and training of partners and managing operations for the entire Haryana cluster. You’ll also drive key operational metrics by regularly visiting their facilities in different cities in your area. You’ll take complete ownership of processes allotted to you and work with various stakeholders to achieve team goals. You’ll continuously work towards identifying gaps and providing recommendations for improving our processes.
"
Cluster Head Middle Mile - Delhi,Meesho,"Delhi, Delhi",https://jobs.lever.co/meesho/2091ea2a-f146-41a2-bd57-89f677ca3d67,"About the Team

Being part of Meesho's Fulfillment and Experience (F&E) team as Cluster Head MM will zip you to the cockpit of our ever-burgeoning rocketship, where you get to directly shape the experience of the country's next billion e-Commerce users. We are an eclectic mix of 100+ professionals with diverse skill sets ranging from running operations/support, supply chain know-how, analytics and the holy grail, first principles Problem-solving. 

At Meesho, we’re trying to do what's never been done before - taking e-commerce to the masses. This leaves us with no choice but to completely reimagine logistics from the ground up, to cater to our customers' price and delivery expectations. That means a host of ""zero-to-one"" projects (takers, anyone?) to build a supply chain to change how folks think about e-Commerce – not just in India, but globally. 

We are firm believers in fun at work. With monthly F&E happy hour sessions, informal team outings, and internal virtual water cooler chat sessions, there’s never a dull moment with us :). 


About the Role 

As Cluster Head MM - Delhi, you’ll own the onboarding and training of partners and managing operations for the entire Delhi cluster. You’ll also drive key operational metrics by regularly visiting their facilities in different cities in your area.  You’ll take complete ownership of processes allotted to you and work with various stakeholders to achieve team goals. You’ll continuously work towards identifying gaps and providing recommendations for improving our processes.

"
Cluster Head Middle Mile - Surat,Meesho,"Surat, Gujarat",https://jobs.lever.co/meesho/a2727749-9e93-4d09-9217-9828e40b54e6,"About the Team

Being part of Meesho's Fulfillment and Experience (F&E) team as Cluster Head MM will zip you to the cockpit of our ever-burgeoning rocketship, where you get to directly shape the experience of the country's next billion e-Commerce users. We are an eclectic mix of 100+ professionals with diverse skill sets ranging from running operations/support, supply chain know-how, analytics and the holy grail, first principles Problem-solving. 

At Meesho, we’re trying to do what's never been done before - taking e-commerce to the masses. This leaves us with no choice but to completely reimagine logistics from the ground up, to cater to our customers' price and delivery expectations. That means a host of ""zero-to-one"" projects (takers, anyone?) to build a supply chain to change how folks think about e-Commerce – not just in India, but globally. 

We are firm believers in fun at work. With monthly F&E happy hour sessions, informal team outings, and internal virtual water cooler chat sessions, there’s never a dull moment with us :). 


About the Role 

As Cluster Head MM - Surat, you’ll own the onboarding and training of partners and managing operations for the entire Surat cluster. You’ll also drive key operational metrics by regularly visiting their facilities in different cities in your area.  You’ll take complete ownership of processes allotted to you and work with various stakeholders to achieve team goals. You’ll continuously work towards identifying gaps and providing recommendations for improving our processes.
"
Content Commerce Trainee – Creator Communications & GTM,Meesho,"Bangalore, Karnataka",https://jobs.lever.co/meesho/0ca8f78b-3d57-42e7-a11f-b818615aac93,"About the Team
The Content Commerce team works closely with creators to drive content-led growth on Meesho. A key part of this is ensuring clear, timely, and effective communication with creators around incentives, payouts, product changes, and platform policies. The team focuses on creator experience, clarity of messaging, and smooth GTM execution.

About the Role
As a Content Commerce Trainee – Creator Communications, you will support the team in drafting, executing, and managing communications sent to creators across multiple channels. This includes messaging related to creator incentives, GTMs for new features, and operational announcements.

The role requires strong communication skills, an understanding of Indian creator behaviour, and hands-on execution across tools like WhatsApp, Push Notifications (PNs), and RCS.
"
Data Scientist II,Meesho,"Bangalore, Karnataka",https://jobs.lever.co/meesho/cbc4c285-3c1a-48d9-a57f-7d65f76b9dc4,"About the Team

Our Data Science team is the Avengers to Meesho’s S.H.I.E.L.D 🛡️. And why not? We are the ones who assemble during the toughest challenges and devise creative solutions, building intelligent systems for millions of our users looking at a thousand different categories of products. We’ve barely scratched the surface, and have amazing challenges in charting the future of commerce for Bharat.  

Our typical day involves dealing with fraud detection, inventory optimisation, and platform vernacularisation.

As Data Scientist, you will navigate uncharted territories with us, discovering new paths to creating solutions for our users.🔍 You will be at the forefront of interesting challenges and solve unique customer problems in an untapped market.

But wait – there’s more to us. Our team is huge on having a well-rounded personal and professional life. When we aren't nose-deep in data, you will most likely find us belting “Summer of 69” at the nearest Karaoke bar, or debating who the best Spider-Man is: Maguire, Garfield, or Holland? You tell us ☺️

About the Role

Love deep data? Love discussing solutions instead of problems? Then you could be our next Data Scientist.
 
In a nutshell, your primary responsibility will be enhancing the productivity and utilisation of the generated data. Other things you will do include working closely with the business stakeholders, transforming scattered pieces of information into valuable data and sharing and presenting your valuable insights with peers.

"
